Wall time,Step,Value
1741348088.927487,0,0.0010000000474974513
1741348823.6847901,1,0.0010000000474974513
1741349610.419542,2,0.0010000000474974513
1741350342.108618,3,0.0010000000474974513
1741351080.373021,4,0.0010000000474974513
1741351873.543038,5,0.0010000000474974513
1741352669.4661582,6,0.0010000000474974513
1741353465.240167,7,0.0010000000474974513
1741354368.2172108,8,0.0010000000474974513
1741355156.631617,9,0.0010000000474974513
1741355937.819926,10,0.0010000000474974513
1741356728.801559,11,0.0010000000474974513
1741357518.710607,12,9.999999747378752e-05
1741359626.634218,13,9.999999747378752e-05
1741367168.957875,14,9.999999747378752e-05
1741368109.017557,15,9.999999747378752e-05
1741369007.209901,16,9.999999747378752e-05
1741369877.597037,17,9.999999747378752e-05
1741373220.542811,18,9.999999747378752e-06
1741378133.871163,19,9.999999747378752e-06
1741378877.833513,20,9.999999747378752e-06
1741379750.98268,21,9.999999747378752e-06
1741380537.756445,22,9.999999747378752e-06
1741381346.598688,23,9.999999747378752e-06
