Wall time,Step,Value
1741348088.9233081,0,0.7978201508522034
1741348823.68211,1,0.25168943405151367
1741349610.417226,2,0.19011953473091125
1741350342.1070058,3,0.15572838485240936
1741351080.370164,4,0.12750370800495148
1741351873.538652,5,0.1093423068523407
1741352669.4628658,6,0.0918707400560379
1741353465.234785,7,0.07873304933309555
1741354368.214134,8,0.06628955900669098
1741355156.629007,9,0.05621791258454323
1741355937.8171,10,0.050491102039813995
1741356728.796436,11,0.04228118062019348
1741357518.706698,12,0.03772919252514839
1741359626.631819,13,0.013072811998426914
1741367168.9545941,14,0.006988204549998045
1741368109.014955,15,0.004247760865837336
1741369007.208218,16,0.002139998134225607
1741369877.594851,17,0.0011913774069398642
1741373220.5405529,18,0.0006077485741116107
1741378133.868566,19,0.0002962184662465006
1741378877.831885,20,0.00024396085063926876
1741379750.9788852,21,0.0001969953445950523
1741380537.75503,22,0.00018227315740659833
1741381346.596,23,0.00014572600775863975
