Wall time,Step,Value
1741348088.927455,0,86.46292877197266
1741348823.684736,1,92.57467651367188
1741349610.419505,2,92.80701446533203
1741350342.108588,3,93.99842834472656
1741351080.372975,4,94.10762023925781
1741351873.5429199,5,94.72056579589844
1741352669.4660869,6,95.66158294677734
1741353465.240017,7,95.23236846923828
1741354368.217165,8,95.1612777709961
1741355156.631572,9,95.27046203613281
1741355937.819881,10,94.1591796875
1741356728.8014479,11,95.80181121826172
1741357518.7105181,12,95.78079223632812
1741359626.6341681,13,96.41229248046875
1741367168.957821,14,96.37223052978516
1741368109.017515,15,96.22248077392578
1741369007.2098749,16,96.25203704833984
1741369877.597009,17,96.2820816040039
1741373220.542773,18,96.18241882324219
1741378133.8711302,19,96.19243621826172
1741378877.833475,20,96.26205444335938
1741379750.982625,21,96.3121337890625
1741380537.756421,22,96.29209899902344
1741381346.598637,23,96.2820816040039
