,MCC Score,Cohen's Kappa
Configuration 1,0.27552604066255654,0.27504715423123083
Original,0.946683445016003,0.9466661488147927
Configuration 2,0.9430517080748252,0.9430113723367202
Configuration 3,0.9273586985191062,0.9273310503889648
Configuration 4,0.7918960920844493,0.7916581967795395
