,MCC Score,Cohen's Kappa,Accuracy,Precision,Recall,F1-Score
Configuration 1,0.27552604066255654,0.27504715423123083,0.3000454338936847,0.2961872809897413,0.26427971923776883,0.26491709784998096
Original,0.946683445016003,0.9466661488147927,0.9483870967741935,0.9491266538717795,0.9407113435702426,0.9444495209715098
Configuration 2,0.9430517080748252,0.9430113723367202,0.9448432530667878,0.9422520961756654,0.9384237630433333,0.9395199150216222
Configuration 3,0.9273586985191062,0.9273310503889648,0.9296683325761018,0.9254672359898152,0.9211635578811983,0.9226811441561631
Configuration 4,0.7918960920844493,0.7916581967795395,0.79854611540209,0.7889587939407685,0.7574863686327142,0.766016874045344
