,MCC Score,Cohen's Kappa,Accuracy,Precision,Recall,F1-Score
Best Configuration,0.9496968518871336,0.9496778023074239,0.9512948659700137,0.9475291366048162,0.9447163446707197,0.9457203388442569
Original,0.9108403426926525,0.9107948789558244,0.9136756019990914,0.9119053180990815,0.9022453514545786,0.9058776251369512
Configuration 1,0.9482866127954342,0.9482605547762613,0.9499318491594729,0.9497603189750787,0.9396533325048866,0.9440228308813348
Configuration 2,0.9496968518871336,0.9496778023074239,0.9512948659700137,0.9475291366048162,0.9447163446707197,0.9457203388442569
Configuration 3,0.5050742802128553,0.5039719244334635,0.5206724216265334,0.5592964469134399,0.4822693273456545,0.4948471668742354
