Wall time,Step,Value
1741749317.302332,0,1.5905853509902954
1741749741.492249,1,0.9379006624221802
1741750167.424497,2,0.7343462109565735
1741750678.107072,3,0.6015045642852783
1741751100.564596,4,0.498010516166687
1741751521.479093,5,0.4078546464443207
1741751934.9688,6,0.32925647497177124
1741752456.121768,7,0.2586894631385803
1741752865.233824,8,0.20890507102012634
1741753291.9218361,9,0.16755476593971252
1741753708.771337,10,0.13321156799793243
1741754222.6995242,11,0.11980848014354706
1741754626.129815,12,0.1007561981678009
1741755049.332059,13,0.09379810839891434
1741755462.6681468,14,0.07563792914152145
1741755853.362732,15,0.07527656108140945
1741756336.066912,16,0.06412507593631744
1741756724.523932,17,0.05838649719953537
