Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,1263.7795599550009,73.512252042007,0.47512775948509955,86.07353972547841
2,680.1186231076717,85.76900863948705,0.4561120665912779,86.29395852119026
3,548.0494269579649,88.38089176478908,0.3923617273163146,88.71856527402063
4,468.18295289576054,90.05810732765225,0.4085040961105663,88.12744214006612
5,407.33994083851576,91.32986810933136,0.33968128154102045,90.38172527802826
6,360.45733465254307,92.22446165269969,0.3789388101155428,89.53010720368701
7,317.58076841477305,93.10137548177221,0.3421677453443408,90.68229636308988
8,286.81817359663546,93.80031352026684,0.372112308210956,90.13124937381023
9,258.6429722774774,94.36960032059216,0.3913606729601713,90.61216310990882
10,232.84029125981033,94.90942093042443,0.3550005819982825,91.29345756938183
