Epoch,Train Loss,Train Acc,Val Loss,Val Acc
1,841.558107599616,82.341501361338,0.33063019006005606,90.54202985672778
2,393.32592882961035,91.75182395719152,0.2735878806937623,92.02484720969842
3,310.3352464661002,93.4691135391252,0.22839272324404775,93.69802624987476
4,260.36292790807784,94.5617198826067,0.19963267452243225,94.3492636008416
5,224.63070547115058,95.17815258772085,0.2062170612091741,94.40937781785392
6,199.49309243471362,95.76983369282085,0.20595482557389636,94.38933974551648
7,178.70916720782407,96.2071119597374,0.18213259377807844,95.35116721771365
8,155.15675653051585,96.65146211237226,0.21351199918468522,94.76004408375914
9,154.2152814018773,96.75754039814717,0.21492343531915536,94.6398156497345
10,129.96817396971164,97.14060087455654,0.20771888565426513,95.24095781985773
